date,COVID_CASE_RATE_WEEK3,NEIGHBORHOOD_NAME,PERCENT_POSITIVE_4WEEK,MODIFIED_ZCTA,PCT_CHANGE_2WEEK,COVID_DEATH_COUNT_4WEEK,COVID_CASE_RATE_4WEEK,COVID_CASE_COUNT_4WEEK,COVID_DEATH_RATE_4WEEK,COVID_CASE_COUNT_WEEK1,COVID_CASE_RATE_WEEK2,COVID_CASE_COUNT_WEEK3,COVID_CASE_COUNT_WEEK2,COVID_CASE_COUNT_WEEK4,COVID_CASE_RATE_WEEK1,COVID_CASE_RATE_WEEK4,NUM_PEOP_TEST_4WEEK,TESTING_RATE_4WEEK
10-10-2020,42.44,Chelsea/NoMad/West Chelsea,1.25,10001,-65,1,148.54,35,4.24,6,12.73,10,3,16,25.46,67.9,2797,11870.29
10-10-2020,20.85,Chinatown/Lower East Side,0.76,10002,33,0,63.84,49,0,12,20.85,16,16,5,15.63,6.51,6456,8411.13
10-10-2020,22.3,East Village/Gramercy/Greenwich Village,0.88,10003,7,0,104.09,56,0,21,14.87,12,8,15,39.03,27.88,6334,11772.88
10-10-2020,0,Financial District,1.62,10004,400,0,164.36,6,0,3,54.79,0,2,1,82.18,27.39,371,10162.7
10-10-2020,83.37,Financial District,1.38,10005,-50,0,142.92,12,0,2,23.82,7,2,1,23.82,11.91,869,10350.03
10-10-2020,0,Financial District,1.23,10006,200,0,115.68,4,0,1,57.84,0,2,1,28.92,28.92,324,9370.2
10-10-2020,24.24,TriBeCa,0.58,10007,50,0,60.61,5,0,1,24.24,2,2,0,12.12,0,857,10388.22
10-10-2020,18.72,Alphabet City/East Village/Stuyvesant Town-Cooper Village,0.76,10009,-50,0,81.7,48,0,8,13.62,11,8,21,13.62,35.75,6311,10742.49
10-10-2020,3.09,Flatiron/Gramercy/Kips Bay,0.56,10010,75,0,67.96,22,0,8,18.53,1,6,7,24.71,21.62,3945,12186.51
10-10-2020,10.1,Chelsea,0.47,10011,45,0,54.54,27,0,9,14.14,5,7,6,18.18,12.12,5773,11662.5
10-10-2020,20.85,Greenwich Village/SoHo,0.95,10012,27,0,104.25,25,0,11,12.51,5,3,6,45.87,25.02,2643,11021.13
10-10-2020,13.78,Hudson Square/Little Italy/SoHo/TriBeCa,0.7,10013,18,1,82.67,24,3.44,7,20.67,4,6,7,24.11,24.11,3420,11780.47
10-10-2020,28.99,Hudson Square/Meatpacking District/West Village,0.77,10014,0,0,96.64,30,0,9,19.33,9,6,6,28.99,19.33,3873,12476.18
10-10-2020,28.56,Kips Bay/Murray Hill/NoMad,0.89,10016,36,0,99,52,0,19,20.94,15,11,7,36.17,13.33,5856,11149.11
10-10-2020,0,East Midtown/Murray Hill,0.75,10017,400,0,74.41,12,0,6,24.8,0,4,2,37.2,12.4,1596,9896.31
10-10-2020,83.93,Hell's Kitchen/Midtown Manhattan,2.3,10018,0,0,230.82,22,0,7,41.97,8,4,3,73.44,31.47,955,10019.47
10-10-2020,22.15,Hell's Kitchen/Midtown Manhattan,0.8,10019,-27,0,93.52,38,0,10,14.77,9,6,13,24.61,31.99,4731,11643.69
10-10-2020,43.01,Lenox Hill/Upper East Side,0.95,10021,-37,0,110.92,49,0,9,22.64,19,10,11,20.37,24.9,5148,11653.49
10-10-2020,26.37,East Midtown,0.74,10022,-50,0,79.12,24,0,7,3.3,8,1,8,23.08,26.37,3237,10670.91
10-10-2020,13.27,Lincoln Square,0.69,10023,93,0,68.02,41,0,12,24.89,8,15,6,19.91,9.95,5934,9844.91
10-10-2020,19.18,Upper West Side,0.69,10024,88,0,85.46,49,0,11,36.63,11,21,6,19.18,10.46,7055,12304.3
10-10-2020,6.5,Manhattan Valley/Morningside Heights/Upper West Side,0.62,10025,55,2,85.56,79,2.17,30,19.49,6,18,25,32.49,27.08,12672,13724.17
10-10-2020,10.25,Central Harlem (South),0.97,10026,46,1,82.01,32,2.56,10,23.07,4,9,9,25.63,23.07,3300,8457.63
10-10-2020,20.43,Central Harlem (South)/Morningside Heights/West Harlem,0.7,10027,-23,1,72.29,46,1.57,10,15.72,13,10,13,15.72,20.43,6604,10378.58
10-10-2020,10.17,Upper East Side/Yorkville,0.82,10028,71,0,77.31,38,0,17,14.24,5,7,9,34.58,18.31,4648,9455.79
10-10-2020,17.76,East Harlem,0.92,10029,4,0,72.3,57,0,17,15.22,14,12,14,21.56,17.76,6180,7838.51
10-10-2020,6.82,Central Harlem (North),0.92,10030,100,1,71.62,21,3.41,11,10.23,2,3,5,37.51,17.05,2275,7758.7
10-10-2020,23.12,Hamilton Heights/West Harlem,1.22,10031,-7,2,85.87,52,3.3,15,16.51,14,10,13,24.77,21.47,4271,7052.87
10-10-2020,14.64,Washington Heights (South),1.32,10032,100,1,97.57,60,1.63,31,14.64,9,9,11,50.41,17.89,4557,7410.65
10-10-2020,35.47,Washington Heights (North)/Washington Heights (South),1.36,10033,32,0,97.96,58,0,19,23.64,21,14,4,32.09,6.76,4252,7181.17
10-10-2020,18.57,Inwood/Washington Heights (North),0.82,10034,-8,0,53.4,23,0,2,20.89,8,9,4,4.64,9.29,2820,6546.93
10-10-2020,2.9,East Harlem,0.67,10035,100,0,61,21,0,13,2.9,1,1,6,37.76,17.43,3126,9080.17
10-10-2020,26.71,Hell's Kitchen/Midtown Manhattan,0.86,10036,17,0,99.19,26,0,4,38.15,7,10,5,15.26,19.08,3017,11510.32
10-10-2020,14.53,Central Harlem (North)/East Harlem,1.02,10037,-30,0,82.33,17,0,3,19.37,3,4,7,14.53,33.9,1659,8034.05
